time,type
32.85,manual
5.26,automatic
3.6,automatic
4.21,automatic
18.96,manual
21.99,manual
24.88,manual
2.8,automatic
4.44,automatic
6.18,automatic
16.45,manual
4.13,automatic
3.82,automatic
5.14,automatic
22.44,manual
4.34,automatic
4.63,automatic
13.29,manual
3.04,automatic
3.9,automatic
3.26,automatic
6.08,automatic
20.12,manual
32.58,manual
5.98,automatic
21.53,manual
6.25,automatic
44.76,manual
17.86,manual
17.32,manual
8.54,automatic
18.68,manual
4.77,automatic
28.06,manual
15.91,automatic
30.78,manual
6.19,automatic
14.89,automatic
24.99,manual
27.91,manual
6,automatic
17.09,manual
26.75,manual
21.64,manual
11.42,automatic
4.63,automatic
5.39,automatic
13.99,automatic
26.49,manual
28.33,manual
3.94,automatic
4.63,automatic
5.39,automatic
13.99,automatic
26.49,manual
28.33,manual
3.94,automatic
4.64,automatic
3.56,automatic
17.18,manual
5.21,automatic
5.19,automatic
22.29,manual
29.75,manual
18.38,manual
6.83,automatic
28.06,manual
4.77,automatic
18.68,manual
8.54,automatic